psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
102363,1,55,2,S,1,1,1,2,2,1,2,2,2,2, ,2, ,3,2,1,58,5,2,1,2,1.26086956521739,.301790722079051
102371,1,8,4,U,1,1,1,1,1,2,2,2,2,2, ,2, ,3,2,2,64,3,2,1,5,6.73913043478261,1.61301937662941
102376,1,17,2,S,1,1,1,1,1,1,2,2,2,2, ,2, ,1,2,1,64,8,2,1,6,1.60869565217391,.385043335066375
102377,1,35,4,S,1,2,1,1,1,2,2,2,2,2, ,2, ,3,2,1,73,7,2,1,6,1,.239351262338558
102378,1,8,4,S,1,1,1,1,1,2,2,2,2,2, ,2, ,1,1,2,50,8,2,1,9,3.60869565217391,.86374585974349
102395,1,42,1,S,1,1,1,1,1,2,2,2,2,2, ,2, ,1,2,1,30,6,2,1,99,2.04347826086957,.489109101300531
102402,1,33,1,R,1,2,1,2,2,2,2,2,2,2, ,2, ,2,2,2,75,8,2,1,99,1,.239351262338558
102411,1,33,1,S,1,1,1,1,1,1,2,2,2,2, ,2, ,2,2,1,53,3,2,1,7,7.82608695652174,1.8731837922148
102415,1,39,2,R,1,2,1,2,2,1,1,1,1,2, ,2, ,3,2,2,49,3,2,1,3,8.60869565217391,2.06050217143628
102423,1,39,2,U,2,2,1,1,1, , , , ,2, ,2, ,3,2,2,58,3,2,2,2,2.43478260869565,.582768290911271
102427,1,42,1,U,1,1,1,2,2,2,2,2,2,2, ,2, ,3,2,2,73,3,2,2,3,2.26086956521739,.541141984417608
102429,1,23,1,R,1,2,1,2,2,8,2,2,2,2, ,2, ,3,2,2,70,8,2,1,6,1.60869565217391,.385043335066375
102432,1,9,1,R,1,1,1,1,1,2,2,2,2,1,6,2, ,3,1,2,55,6,2,9,9,1.8695652173913,.447482794806869
102441,1,36,1,U,2,2,1,1,1, , , , ,2, ,2, ,3,2,1,70,2,2,2,2,2.56521739130435,.613988020781517
102450,1,44,1,S,2,2,2, ,3, , , , , , , , ,3,2,1,80,8,2,1,4,4.21739130434783,1.00943793247131
102458,1,26,2,U,2,2,1,2,2, , , , ,2, ,2, ,3,2,2,67,3,2,1,3,2.04347826086957,.489109101300531
102474,1,25,1,S,1,2,1,2,2,2,2,1,1,2, ,2, ,3,2,1,81,6,2,1,6,1.08695652173913,.260164415585389
102482,1,51,3,S,1,1,1,1,1,1,2,2,2,2, ,2, ,1,2,2,32,1,2,1,8,6.65217391304348,1.59220622338258
102484,1,36,1,R,1,1,1,2,2,2,2,2,2,2, ,2, ,1,2,2,43,8,2,1,8,3.21739130434783,.77008667013275
102489,1,47,3,S,1,1,1,1,1,2,2,2,2,2, ,2, ,1,1,1,36,8,2,1,9,2.8695652173913,.686834057145426
102492,1,42,1,S,2,2,2, ,3, , , , , , , , ,3,2,2,83,3,2,1,2,5.1304347826087,1.22797604156303
102516,1,37,3,S,1,1,1,1,1,1,2,2,1,2, ,2, ,2,1,2,36,5,2,1,3,4.30434782608696,1.03025108571814
102521,1,21,3,R,1,2,1,2,2,2,1,2,2,2, ,2, ,3,2,2,75,8,2,1,4,1,.239351262338558
102537,1,42,1,R,1,1,1,2,2,2,1,2,1,2, ,2, ,3,2,2,57,4,2,1,3,1.73913043478261,.416263064936622
102546,1,45,3,S,1,2,1,2,2,2,2,2,2,2, ,2, ,2,2,2,73,2,2,1,99,3.26086956521739,.780493246756166
102553,1,36,1,S,1,1,1,1,1,1,2,2,2,2, ,2, ,1,2,1,30,6,2,1,6,3.34782608695652,.801306400002997
102561,1,21,3,S,1,1,1,1,1,1,1,1,1,2, ,2, ,1,1,1,35,6,2,1,3,1.78260869565217,.426669641560037
102562,1,34,1,S,1,1,1,1,1,2,2,2,2,2, ,2, ,1,2,2,40,6,2,1,5,3.30434782608696,.790899823379582
102563,1,39,2,U,1,1,1,2,2,2,2,2,2,2, ,2, ,3,2,2,71,4,2,1,6,1.65217391304348,.395449911689791
102571,1,24,3,S,1,2,1,2,2,1,2,2,2,2, ,2, ,3,2,1,66,8,2,1,7,1.65217391304348,.395449911689791
